blade station,x1,x2,x3,airfoil,has sharp TE,thickness-to-chord ratio,pitch axis,chord,twist,root buildup height,spar cap base,spar cap height,shear web 1 base biax,shear web 1 base foam,shear web 1 x2,shear web 2 base biax,shear web 2 base foam,shear web 2 x2,shear web 3 base biax,shear web 3 base foam,shear web 3 x2,TE reinf base,TE reinf height uniax,TE reinf height foam,LE panel height,aft panel 1 height,aft panel 2 height,internal surface 1 height triax,internal surface 1 height resin,internal surface 2 height triax,internal surface 2 height resin,internal surface 3 height triax,internal surface 3 height resin,internal surface 4 height triax,internal surface 4 height resin,external surface height triax,external surface height gelcoat,comment
1,0,0,0,Cylinder,no,1,0.5,5.694,13.308,0.16,,,,,,,,,,,,,,,,,,0.005,0.005,,,,,,,0.005,0.0006,
2,0.5,0,0,Cylinder,no,1,0.5,5.694,13.308,0.14,1.5,0.013,,,,,,,,,,1,0.001,,,,,0.005,0.005,,,,,,,0.005,0.0006,
3,0.7,0,0,SNL-100m-0pt007,no,0.9925,0.5,5.694,13.308,0.12,1.5,0.013,,,,,,,,,,1,0.002,,,,,0.005,0.005,,,,,,,0.005,0.0006,
4,0.9,0,0,SNL-100m-0pt009,no,0.985,0.5,5.694,13.308,0.1,1.5,0.013,,,,,,,,,,1,0.003,,,,,0.005,0.005,,,,,,,0.005,0.0006,
5,1.1,0,0,SNL-100m-0pt011,no,0.9775,0.5,5.694,13.308,0.08,1.5,0.013,,,,,,,,,,1,0.005,,,,,0.005,0.005,,,,,,,0.005,0.0006,
6,1.3,0,0,SNL-100m-Ellipse97,no,0.97,0.5,5.694,13.308,0.07,1.5,0.013,,,,,,,,,,1,0.007,,0.001,0.001,,0.005,0.005,,,,,,,0.005,0.0006,
7,2.4,0,0,SNL-100m-Ellipse93pt1,no,0.931,0.499,5.792,13.308,0.063,1.5,0.013,0.003,0.08,-0.75,0.003,0.08,0.75,,,,1,0.008,,0.0035,0.0035,,0.005,0.005,0.005,0.005,0.005,0.005,,,0.005,0.0006,main shear webs begin
8,2.6,0,0,SNL-100m-Ellipse92pt5,no,0.925,0.498,5.811,13.308,0.055,1.5,0.013,0.003,0.08,-0.75,0.003,0.08,0.75,,,,1,0.009,,0.013,0.013,,0.005,0.005,0.005,0.005,0.005,0.005,,,0.005,0.0006,
9,4.7,0,0,SNL-100m-Transition84,no,0.84,0.483,6.058,13.308,0.04,1.5,0.02,0.003,0.08,-0.75,0.003,0.08,0.75,,,,1,0.013,,0.03,0.1,,0.005,0.005,0.005,0.005,0.005,0.005,,,0.005,0.0006,
10,6.8,0,0,SNL-100m-Transition76,no,0.76,0.468,6.304,13.308,0.025,1.5,0.03,0.003,0.08,-0.75,0.003,0.08,0.75,,,,1,0.018,,0.05,0.1,,0.005,0.005,0.005,0.005,0.005,0.005,,,0.005,0.0006,
11,8.9,0,0,SNL-100m-Transition68,no,0.68,0.453,6.551,13.308,0.015,1.5,0.051,0.003,0.08,-0.75,0.003,0.08,0.75,,,,1,0.025,0.06,0.06,0.1,,0.005,0.005,0.005,0.005,0.005,0.005,,,0.005,0.0006,transition
12,11.4,0,0,SNL-100m-Transition60,no,0.6,0.435,6.835,13.308,0.005,1.5,0.068,0.003,0.08,-0.75,0.003,0.08,0.75,,,,1,0.033,0.06,0.06,0.1,,0.005,0.005,0.005,0.005,0.005,0.005,,,0.005,0.0006,
13,14.6,0,0,SNL-100m-Transition51,no,0.51,0.41,7.215,13.308,,1.5,0.094,0.003,0.08,-0.75,0.003,0.08,0.75,0.003,0.08,2.66955,1,0.04,0.06,0.06,0.1,0.1,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.0006,"third shear web begins, placed at 78% chord (from LE)"
14,16.3,0,0,SNL-100m-Transition47,no,0.47,0.4,7.404,13.177,,1.5,0.111,0.003,0.08,-0.75,0.003,0.08,0.75,0.003,0.08,2.593621096,1,0.05,0.06,0.06,0.06,0.06,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.0006,
15,17.9,0,0,SNL-100m-Transition43pt5,no,0.435,0.39,7.552,13.046,,1.5,0.119,0.003,0.08,-0.75,0.003,0.08,0.75,0.003,0.08,2.541725658,1,0.06,0.06,0.06,0.06,0.06,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.0006,
16,19.5,0,0,DU99-W-405,yes,0.405,0.38,7.628,12.915,,1.5,0.136,0.003,0.08,-0.75,0.003,0.08,0.75,0.003,0.08,2.520150219,1,0.06,0.06,0.06,0.06,0.06,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.0006,maximum chord
17,22.2,0,0,DU99-W-405_38,yes,0.38,0.378,7.585,12.133,,1.5,0.136,0.003,0.08,-0.75,0.003,0.08,0.75,0.003,0.08,2.436546667,1,0.06,0.06,0.06,0.06,0.06,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.0006,
18,24.9,0,0,DU99-W-350_36,yes,0.36,0.377,7.488,11.35,,1.5,0.136,0.003,0.08,-0.75,0.003,0.08,0.75,0.003,0.08,2.365587114,1,0.06,0.06,0.06,0.06,0.06,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.0006,
19,27.6,0,0,DU99-W-350_34,yes,0.34,0.375,7.347,10.568,,1.5,0.128,0.003,0.08,-0.75,0.003,0.08,0.75,0.003,0.08,2.318324561,1,0.03,0.04,0.06,0.06,0.06,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.0006,
20,35.8,0,0,DU97-W-300,yes,0.3,0.375,6.923,9.166,,1.5,0.119,0.003,0.08,-0.75,0.003,0.08,0.75,0.003,0.08,2.127720439,1,0.03,0.02,0.06,0.06,0.06,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.0006,
21,43.9,0,0,DU91-W2-250_26,yes,0.26,0.375,6.429,7.688,,1.5,0.111,0.003,0.08,-0.75,0.003,0.08,0.75,0.003,0.08,1.967629781,1,0.015,0.01,0.06,0.06,0.06,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.0006,
22,52,0,0,DU93-W-210_23,yes,0.23,0.375,5.915,6.18,,1.5,0.102,0.003,0.08,-0.75,0.003,0.08,0.75,0.003,0.08,1.815039123,1,0.008,0.01,0.06,0.06,0.06,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.0006,
23,60.2,0,0,DU93-W-210,yes,0.21,0.375,5.417,4.743,,1.5,0.085,0.003,0.08,-0.75,0.003,0.08,0.75,0.003,0.08,1.652185,1,0.004,0.01,0.06,0.06,0.06,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.0006,"third shear web ends, placed at 68% chord (from LE)"
24,66.7,0,0,NACA_64-618_19,yes,0.19,0.375,5.019,3.633,,1.5,0.068,0.003,0.08,-0.75,0.003,0.08,0.75,,,,1,0.004,0.01,0.06,0.06,,0.005,0.005,0.005,0.005,0.005,0.005,,,0.005,0.0006,
25,68.3,0,0,NACA_64-618_18pt5,yes,0.185,0.375,4.92,3.383,,1.5,0.064,0.003,0.08,-0.75,0.003,0.08,0.75,,,,1,0.004,0.01,0.055,0.055,,0.005,0.005,0.005,0.005,0.005,0.005,,,0.005,0.0006,
26,73.2,0,0,NACA_64-618,yes,0.18,0.375,4.621,2.735,,1.5,0.047,0.003,0.08,-0.75,0.003,0.08,0.75,,,,1,0.004,0.01,0.045,0.045,,0.005,0.005,0.005,0.005,0.005,0.005,,,0.005,0.0006,
27,76.4,0,0,NACA_64-618,yes,0.18,0.375,4.422,2.348,,1.5,0.034,0.003,0.08,-0.75,0.003,0.08,0.75,,,,1,0.004,0.01,0.03,0.03,,0.005,0.005,0.005,0.005,0.005,0.005,,,0.005,0.0006,
28,84.6,0,0,NACA_64-618,yes,0.18,0.375,3.925,1.38,,1.5,0.017,0.003,0.08,-0.75,0.003,0.08,0.75,,,,1,0.004,0.01,0.015,0.015,,0.005,0.005,0.005,0.005,0.005,0.005,,,0.005,0.0006,
29,89.4,0,0,NACA_64-618,yes,0.18,0.375,3.619,0.799,,1.5,0.009,0.003,0.08,-0.75,0.003,0.08,0.75,,,,1,0.004,0.01,0.01,0.01,,0.005,0.005,0.005,0.005,0.005,0.005,,,0.005,0.0006,
30,94.3,0,0,NACA_64-618,yes,0.18,0.375,2.824,0.28,,1.5,0.005,0.003,0.08,-0.75,0.003,0.08,0.75,,,,0.929,0.004,0.01,0.005,,,0.005,0.005,0.005,0.005,0.005,0.005,,,0.005,0.0006,"main shear webs end, TE reinf base begins to taper"
31,95.7,0,0,NACA_64-618,yes,0.18,0.375,2.375,0.21,,1.261,0.005,,,,,,,,,,0.853875,0.004,0.01,0.005,,,0.005,0.005,,,,,,,0.005,0.0006,spar cap base begins to taper
32,97.2,0,0,NACA_64-618,yes,0.18,0.375,1.836,0.14,,0.975,0.005,,,,,,,,,,0.66,0.004,0.01,0.005,,,0.005,0.005,,,,,,,0.005,0.0006,
33,98.6,0,0,NACA_64-618,yes,0.18,0.375,1.208,0.07,,0.641,0.005,,,,,,,,,,0.4345,0.004,0.01,0.005,,,0.005,0.005,,,,,,,0.005,0.0006,
34,100,0,0,NACA_64-618,yes,0.18,0.375,0.1,0,,,,,,,,,,,,,,,,,,,0.00125,0.00125,,,,,,,0.005,0.0006,
